"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-05",,,,,"0.00","0.0",,"52","30","49"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-06",,,,,"0.00","0.0",,"52","36","41"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-07",,,,,"0.00","0.0",,"57","33","53"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-08",,,,,"0.00","0.0",,"62","33","59"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-09",,,,,"0.00","0.0",,"60","39","59"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-10",,,,,"0.00","0.0",,"59","38","44"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-11",,,,,"0.19","0.0",,"46","41","44"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-12",,,,,"0.00","0.0",,"44","42","39"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-13",,,,,"0.25","0.0",,"42","36","40"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-14",,,,,"0.31","0.0",,"41","32","34"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-15",,,,,"0.21","0.0",,"55","32","52"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-16",,,,,"0.00","0.0",,"57","30","54"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-17",,,,,"0.00","0.0",,"60","25","57"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-18",,,,,"0.00","0.0",,"62","33","56"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-19",,,,,"0.00","0.0",,"59","44","55"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-20",,,,,"0.12","0.0",,"63","43","51"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-21",,,,,"0.27","0.0",,"51","30","46"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-22",,,,,"0.00","0.0",,"56","30","54"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-23",,,,,"0.00","0.0",,"64","31","58"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-24",,,,,"0.31","0.0",,"58","38","38"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-25",,,,,"0.05","0.0",,"53","32","51"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-26",,,,,"0.00","0.0",,"63","31","56"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-27",,,,,"0.00","0.0",,"70","42","66"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-28",,,,,"0.00","0.0",,"72","52","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-29",,,,,"0.26","0.0",,"63","42","51"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-04-30",,,,,"0.40","0.0",,"50","25","36"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-01",,,,,"0.00","0.0",,"55","27","48"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-02",,,,,"0.57","0.0",,"49","37","48"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-03",,,,,"0.00","0.0",,"56","29","54"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-04",,,,,"0.06","0.0",,"62","43","60"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-05",,,,,"0.00","0.0",,"66","44","58"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-06",,,,,"0.00","0.0",,"61","46","60"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-07",,,,,"0.00","0.0",,"61","36","59"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-08",,,,,"0.00","0.0",,"67","37","64"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-09",,,,,"0.00","0.0",,"74","45","65"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-10",,,,,"0.35","0.0",,"77","55","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-11",,,,,"0.25","0.0",,"66","49","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-12",,,,,"0.15","0.0",,"79","51","73"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-13",,,,,"0.30","0.0",,"73","48","56"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-14",,,,,"0.00","0.0",,"66","40","66"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-15",,,,,"0.00","0.0",,"74","42","71"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-16",,,,,"0.08","0.0",,"82","54","73"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-17",,,,,"0.05","0.0","0.0","82","59","66"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-18",,,,,"0.05","0.0",,"82","62","70"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-19",,,,,"0.00","0.0",,"75","61","69"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-20",,,,,"0.00","0.0",,"83","51","76"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-21",,,,,"0.20","0.0",,"76","58","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-22",,,,,"0.00","0.0",,"63","52","61"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-23",,,,,"0.71","0.0",,"67","54","60"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-24",,,,,"0.00","0.0",,"68","50","62"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-25",,,,,"0.25","0.0",,"73","52","71"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-26",,,,,"0.42","0.0",,"72","60","67"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-27",,,,,"1.22","0.0",,"69","58","60"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-28",,,,,"0.00","0.0",,"73","47","69"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-29",,,,,"0.00","0.0",,"69","40","59"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-30",,,,,"0.00","0.0",,"58","40","51"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-05-31",,,,,"0.00","0.0",,"60","42","55"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-01",,,,,"0.00","0.0",,"64","41","61"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-02",,,,,"0.00","0.0",,"73","52","70"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-03",,,,,"0.00","0.0",,"75","46","66"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-04",,,,,"0.00","0.0",,"79","49","68"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-05",,,,,"0.00","0.0",,"81","48","64"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-06",,,,,"0.00","0.0",,"86","55","71"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-07",,,,,"0.00","0.0",,"80","51","56"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-08",,,,,"0.00","0.0",,"68","45","53"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-09",,,,,"0.00","0.0",,"65","42","40"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-10",,,,,"0.23","0.0",,"56","43","52"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-11",,,,,"0.00","0.0",,"52","35","48"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-12",,,,,"0.00","0.0",,"68","31","56"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-13",,,,,"0.00","0.0",,"79","42","71"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-14",,,,,"0.00","0.0",,"84","52","73"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-15",,,,,"0.00","0.0",,"87","54","71"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-16",,,,,"0.00","0.0",,"86","53","70"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-17",,,,,"0.00","0.0",,"72","41","65"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-18",,,,,"0.25","0.0",,"82","53","64"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-19",,,,,"0.25","0.0",,"64","49","54"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-20",,,,,"0.00","0.0",,"66","45","58"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-21",,,,,"0.00","0.0",,"70","49","64"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-22",,,,,"0.38","0.0",,"71","55","58"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-23",,,,,"0.00","0.0",,"67","45","60"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-24",,,,,"0.00","0.0",,"72","49","64"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-25",,,,,"0.00","0.0",,"78","48","66"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-26",,,,,"0.00","0.0",,"82","53","72"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-27",,,,,"0.00","0.0",,"86","55","72"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-28",,,,,"0.00","0.0",,"82","63","75"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-29",,,,,"0.00","0.0",,"85","51","74"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-06-30",,,,,"0.47","0.0",,"74","65","68"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-01",,,,,"0.61","0.0",,"75","66","67"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-02",,,,,"0.02","0.0",,"82","57","69"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-03",,,,,"0.00","0.0",,"87","62","79"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-04",,,,,"0.51","0.0",,"84","66","67"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-05",,,,,"0.00","0.0",,"81","56","74"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-06",,,,,"0.00","0.0",,"83","55","74"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-07",,,,,"0.00","0.0",,"89","64","80"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-08",,,,,"0.01","0.0",,"91","70",
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-09",,,,,"1.27","0.0",,"83","65","80"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-10",,,,,"0.00","0.0",,"76","64","70"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-11",,,,,"0.00","0.0",,"81","62","72"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-12",,,,,"0.00","0.0",,"72","52","65"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-13",,,,,"0.00","0.0",,"74","50","67"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-14",,,,,"0.00","0.0",,"72","53","65"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-15",,,,,"0.00","0.0",,"74","49","64"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-16",,,,,"0.00","0.0",,"82","56","73"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-17",,,,,"0.44","0.0",,"73","62","64"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-18",,,,,"0.00","0.0",,"77","56","66"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-19",,,,,"0.00","0.0",,"73","55","65"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-20",,,,,"0.00","0.0",,"80","53","69"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-21",,,,,"0.07","0.0",,"78","61","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-22",,,,,"0.00","0.0",,"73","52","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-23",,,,,"0.00","0.0",,"81","55","74"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-24",,,,,"0.00","0.0",,"87","60","73"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-25",,,,,"0.00","0.0",,"91","72","79"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-26",,,,,"0.00","0.0",,"79","60","67"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-27",,,,,"0.30","0.0",,"74","55","71"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-28",,,,,"1.31","0.0",,"90","66","69"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-29",,,,,"0.00","0.0",,"80","64","68"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-30",,,,,"0.00","0.0",,"68","52","58"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-07-31",,,,,"0.00","0.0",,"69","44","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-01",,,,,"0.72","0.0",,"70","49","56"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-02",,,,,"0.62","0.0",,"80","56","73"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-03",,,,,"0.82","0.0",,"75","64","66"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-04",,,,,"0.00","0.0",,"74","62","68"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-05",,,,,"1.03","0.0",,"81","60","72"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-06",,,,,"0.00","0.0",,"73","57","59"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-07",,,,,"0.00","0.0",,"71","44","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-08",,,,,"0.63","0.0",,"76","57","62"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-09",,,,,"0.00","0.0",,"71","45","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-10",,,,,"0.10","0.0",,"66","55","57"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-11",,,,,"0.00","0.0",,"68","47","62"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-12",,,,,"0.00","0.0",,"61","45","58"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-13",,,,,"0.00","0.0",,"71","47","66"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-14",,,,,"0.40","0.0",,"75","55","63"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-15",,,,,"0.45","0.0",,"65","57","62"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-16",,,,,"0.00","0.0",,"74","51","67"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-17",,,,,"0.00","0.0",,"80","55","74"
"USC00473405","HANCOCK EXPERIMENTAL FARM, WI US","1903-08-18",,,,,"0.74","0.0",,"82","61","72"
