DNR Parameter,Parameter Description,Alternate IDs,Result Type,Result Value,Units,LOD,LOQ,Lower Bound,Upper Bound,Sig Figs,Dec. Places,Sample/Labslip ID,Waterbody ID #,Field #,Sample Collected (Start) Date,Sample Description,Sample Location,Account #,Sample Depth
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.677,MG/L,0.2,0.6,,,3,3,442376004,,LL09 042319,4/23/2019 14:57,MID SCREEN OF WELL / PERISTALTIC PUMP,LL09 MONITORING WELL,WQ030,23.7F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.653,MG/L,0.2,0.6,,,3,3,442376005,,PFL02 042319,4/23/2019 12:32,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL02 MONITORING WELL,WQ030,32.4F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,4.82,MG/L,0.2,0.6,,,3,2,442376006,,PFL03 042319,4/23/2019 11:05,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL03 MONITORING WELL,WQ030,34.7F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,3,0.591,MG/L,0.2,0.6,,,3,3,442376007,,PFL05 042319,4/23/2019 10:30,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL05 MONITORING WELL,WQ030,24.4F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,7.17,MG/L,0.2,0.6,,,3,2,442376008,,PFL09 042319,4/23/2019 11:38,MID-SCREEN OF WELL / WATERRA PUMP,PFL09 MONITORING WELL,WQ030,40.8F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.693,MG/L,0.2,0.6,,,3,3,442376009,,PSNT01 042419,4/24/2019 10:54,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT01 MONITORING WELL,WQ030,22.42F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,3,0.49,MG/L,0.2,0.6,,,3,3,442376010,,PSNT03 042319,4/23/2019 17:24,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT03 MONITORING WELL,WQ030,24.6F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,5.78,MG/L,0.2,0.6,,,3,2,442376011,,PSNT05 042319,4/23/2019 16:45,MID-SCREEN OF WELL / WATERRA PUMP,PSNT05 MONITORING WELL,WQ030,50.3F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,2.15,MG/L,0.2,0.6,,,3,2,442376012,,PSNT16 042419,4/24/2019 11:39,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT16 MONITORING WELL,WQ030,31.2F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.608,MG/L,0.2,0.6,,,3,3,453036001,,PSNT01 061919,6/19/2019 13:26,MID-SCREEB OF WELL/ PERISTALTIC PUMP,PSNT01 MONITORING WELL,WQ030,21 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,3,0.579,MG/L,0.2,0.6,,,3,3,453036002,,PSNT03 061919,6/19/2019 15:46,MID-SCREEN OF WELL/ PERSTALTIC PUMP,PSNT03 MONITORING WELL,WQ030,24 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,4.84,MG/L,0.2,0.6,,,3,2,453036003,,PSNT05 061919,6/19/2019 14:56,MID-SCREEN OF WELL/ WATERRA PUMP,PSNT05 MONITORING WELL,WQ030,50 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.96,MG/L,0.2,0.6,,,3,2,453036004,,PSNT16 061919,6/19/2019 14:07,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PSNT16 MONITORING WELL,WQ030,31 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.793,MG/L,0.2,0.6,,,3,3,453036005,,PFL02 061819,6/18/2019 12:10,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PFL02 MONITORING WELL,WQ030,32 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,5.49,MG/L,0.2,0.6,,,3,2,453036006,,PFL03 061819,6/18/2019 11:21,MID-SCREEN OF WELL/ PERISTALTIC PUMP,PFL03 MONITORING WELL,WQ030,33 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.653,MG/L,0.2,0.6,,,3,3,453036007,,PFL05 061819,6/18/2019 10:22,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL05 MONITORING WELL,WQ030,24 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,4.64,MG/L,0.2,0.6,,,3,2,453036008,,PFL09 061919,6/19/2019 10:02,MID-SCREEN OF WELL/ WATERRA PUMP/ MID SCREEN OF WELL,PFL09 MONITORING WELL,WQ030,40 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.777,MG/L,0.2,0.6,,,3,3,453036009,,LL03 061819,6/18/2019 13:26,MID-SCREEN OF WELL/ PERISTALTIC PUMP,LL03 MONITORING WELL,WQ030,22 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,3,0.482,MG/L,0.2,0.6,,,3,3,453036010,,LL06 061919,6/19/2019 11:52,MID-SCREEN OF WELL/ PERISTALTIC PUMP,LL06 MONITORING WELL,WQ030,30 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.738,MG/L,0.2,0.6,,,3,3,453036011,,LL07 061819,6/18/2019 14:08,MID-SCREEN OF WELL/ PERISTALTIC,LL07 MONITORING WELL,WQ030,27 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,0.66,MG/L,0.2,0.6,,,3,3,453036012,,LL09 061919,6/19/2019 11:11,MID-SCREEN OF WELL/ PERISTALTIC PUMP,LL09 MONITORING WELL,WQ030,23 F
50245,POTASSIUM TOTAL RECOVERABLE,CAS: 7440097 EPA WQX: 1709 SRS: E149740 STORET_LEGACY: 50245 ,1,1.71,MG/L,0.2,0.6,,,3,2,453036013,1012500,PLAIN 061819,6/18/2019 15:07,DEEP HOLE/ INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,0-6 F
