DNR Parameter,Parameter Description,DNR Parameter Type,Alternate IDs,Result Type,Result Value,Units,LOD,LOQ,Lower Bound,Upper Bound,Sig Figs,Dec. Places,Result Amount,Lab ID,Lab Name,Sample/Labslip ID,Analysis Date,Method,Lab Comment,Batch ID,ID #,ID Point #,Waterbody ID #,Field #,Sample Collected (Start) Date,Sample Collected End Date,Date Received by Lab,Date Reported by Lab,Sample Description,Sample Location,Account #,Account Desc.,Program Code,Region,County,Report to Name,Report to Address,"Report to City, State, Zip",Sample Collector,Sample Source,Sample Reason,Project #,Enforcement Code,Check Date,Sample Depth,Sample Status
403,PH LAB,DNR_STORET,EPA WQX: 1648 SRS: E1644285 STORET_LEGACY: 403 ,1,8.62,SU,,,,,3,2,8.62,113133790,Wisconsin State Laboratory of Hygiene,394040002,7/19/2018 11:33,"SM2510B,EPA150.1,SM2320B",,135541,703057,161996162,106900,PLE71218,7/12/2018 13:30,7/12/2018 13:46,7/12/2018 15:40,7/20/2018 11:00,,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-2M,COMPLETE
410,ALKALINITY TOTAL CACO3,DNR_STORET,EPA WQX: 3125 SRS: E1640192 STORET_LEGACY: 410 ,1,127,MG/L,2.55,2.55,,,3,0,127,113133790,Wisconsin State Laboratory of Hygiene,394040002,7/19/2018 11:33,"SM2510B,EPA150.1,SM2320B",,135541,703057,161996162,106900,PLE71218,7/12/2018 13:30,7/12/2018 13:46,7/12/2018 15:40,7/20/2018 11:00,,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-2M,COMPLETE
95,"CONDUCTIVITY, UMHOS/CM @ 25C",DNR_STORET,EPA WQX: 1815 SRS: E1640291 SRS: E1646694 STORET_LEGACY: 95 ,1,112,uS/cm,10,10,,,3,0,112,113133790,Wisconsin State Laboratory of Hygiene,394040003,7/19/2018 11:38,"SM2510B,EPA150.1,SM2320B",,135541,703032,161995967,1000800,LONG71218,7/12/2018 11:57,7/12/2018 12:11,7/12/2018 15:40,7/20/2018 11:00,,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
403,PH LAB,DNR_STORET,EPA WQX: 1648 SRS: E1644285 STORET_LEGACY: 403 ,1,7.08,SU,,,,,3,2,7.08,113133790,Wisconsin State Laboratory of Hygiene,394040003,7/19/2018 11:38,"SM2510B,EPA150.1,SM2320B",,135541,703032,161995967,1000800,LONG71218,7/12/2018 11:57,7/12/2018 12:11,7/12/2018 15:40,7/20/2018 11:00,,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
410,ALKALINITY TOTAL CACO3,DNR_STORET,EPA WQX: 3125 SRS: E1640192 STORET_LEGACY: 410 ,1,46.1,MG/L,2.55,2.55,,,3,1,46.1,113133790,Wisconsin State Laboratory of Hygiene,394040003,7/19/2018 11:38,"SM2510B,EPA150.1,SM2320B",,135541,703032,161995967,1000800,LONG71218,7/12/2018 11:57,7/12/2018 12:11,7/12/2018 15:40,7/20/2018 11:00,,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
918,CALCIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7440702 EPA WQX: 727 SRS: E150268 STORET_LEGACY: 918 ,1,10.5,MG/L,0.1,0.3,,,3,1,10.5,113133790,Wisconsin State Laboratory of Hygiene,394040003,7/18/2018 11:25,EPA 200.7,,135537,703032,161995967,1000800,LONG71218,7/12/2018 11:57,7/12/2018 12:11,7/12/2018 15:40,7/20/2018 11:00,,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
921,MAGNESIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7439954 EPA WQX: 1244 SRS: E149617 STORET_LEGACY: 921 ,1,5.31,MG/L,0.1,0.3,,,3,2,5.31,113133790,Wisconsin State Laboratory of Hygiene,394040003,7/18/2018 11:25,EPA 200.7,,135537,703032,161995967,1000800,LONG71218,7/12/2018 11:57,7/12/2018 12:11,7/12/2018 15:40,7/20/2018 11:00,,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
899,HARDNESS TOTAL RECOVERABLE CALCULATION,DNR_STORET,EPA WQX: 1097 SRS: E1643592 STORET_LEGACY: 899 ,1,48.1,MG/L,0.66,2,,,3,1,48.1,113133790,Wisconsin State Laboratory of Hygiene,394040003,7/18/2018 11:25,EPA 200.7,,135537,703032,161995967,1000800,LONG71218,7/12/2018 11:57,7/12/2018 12:11,7/12/2018 15:40,7/20/2018 11:00,,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,0-1.5M,COMPLETE
95,"CONDUCTIVITY, UMHOS/CM @ 25C",DNR_STORET,EPA WQX: 1815 SRS: E1640291 SRS: E1646694 STORET_LEGACY: 95 ,1,92.6,uS/cm,10,10,,,3,1,92.6,113133790,Wisconsin State Laboratory of Hygiene,388424001,6/15/2018 12:36,"SM2510B,EPA150.1,SM2320B",,132769,703032,161996011,1000800,LL61318,6/13/2018 11:05,6/13/2018 11:19,6/13/2018 16:13,7/27/2018 16:20,LONG LAKE DEEPHOLE - INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
403,PH LAB,DNR_STORET,EPA WQX: 1648 SRS: E1644285 STORET_LEGACY: 403 ,1,7.6,SU,,,,,3,2,7.6,113133790,Wisconsin State Laboratory of Hygiene,388424001,6/15/2018 12:36,"SM2510B,EPA150.1,SM2320B",,132769,703032,161996011,1000800,LL61318,6/13/2018 11:05,6/13/2018 11:19,6/13/2018 16:13,7/27/2018 16:20,LONG LAKE DEEPHOLE - INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
410,ALKALINITY TOTAL CACO3,DNR_STORET,EPA WQX: 3125 SRS: E1640192 STORET_LEGACY: 410 ,1,43.9,MG/L,2.55,2.55,,,3,1,43.9,113133790,Wisconsin State Laboratory of Hygiene,388424001,6/15/2018 12:36,"SM2510B,EPA150.1,SM2320B",,132769,703032,161996011,1000800,LL61318,6/13/2018 11:05,6/13/2018 11:19,6/13/2018 16:13,7/27/2018 16:20,LONG LAKE DEEPHOLE - INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
918,CALCIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7440702 EPA WQX: 727 SRS: E150268 STORET_LEGACY: 918 ,1,9.03,MG/L,0.1,0.3,,,3,2,9.03,113133790,Wisconsin State Laboratory of Hygiene,388424001,6/21/2018 10:16,EPA 200.7,,133230,703032,161996011,1000800,LL61318,6/13/2018 11:05,6/13/2018 11:19,6/13/2018 16:13,7/27/2018 16:20,LONG LAKE DEEPHOLE - INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
921,MAGNESIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7439954 EPA WQX: 1244 SRS: E149617 STORET_LEGACY: 921 ,1,4.72,MG/L,0.1,0.3,,,3,2,4.72,113133790,Wisconsin State Laboratory of Hygiene,388424001,6/21/2018 10:16,EPA 200.7,,133230,703032,161996011,1000800,LL61318,6/13/2018 11:05,6/13/2018 11:19,6/13/2018 16:13,7/27/2018 16:20,LONG LAKE DEEPHOLE - INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
899,HARDNESS TOTAL RECOVERABLE CALCULATION,DNR_STORET,EPA WQX: 1097 SRS: E1643592 STORET_LEGACY: 899 ,1,42,MG/L,0.66,2,,,3,1,42,113133790,Wisconsin State Laboratory of Hygiene,388424001,6/21/2018 10:16,EPA 200.7,,133230,703032,161996011,1000800,LL61318,6/13/2018 11:05,6/13/2018 11:19,6/13/2018 16:13,7/27/2018 16:20,LONG LAKE DEEPHOLE - INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
403,PH LAB,DNR_STORET,EPA WQX: 1648 SRS: E1644285 STORET_LEGACY: 403 ,1,7.51,SU,,,,,3,2,7.51,113133790,Wisconsin State Laboratory of Hygiene,388424001,6/27/2018,"Kramer, 1984",,133833,703032,161996011,1000800,LL61318,6/13/2018 11:05,6/13/2018 11:19,6/13/2018 16:13,7/27/2018 16:20,LONG LAKE DEEPHOLE - INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
409,ALKALINITY TOTAL GRAN AVAL UEQ/L,DNR_STORET,EPA WQX: 3125 SRS: E1643584 STORET_LEGACY: 409 ,1,884,ueq/L,10,,,,3,0,884,113133790,Wisconsin State Laboratory of Hygiene,388424001,6/27/2018,"Kramer, 1984",,133833,703032,161996011,1000800,LL61318,6/13/2018 11:05,6/13/2018 11:19,6/13/2018 16:13,7/27/2018 16:20,LONG LAKE DEEPHOLE - INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
918,CALCIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7440702 EPA WQX: 727 SRS: E150268 STORET_LEGACY: 918 ,1,27.4,MG/L,0.1,0.3,,,3,1,27.4,113133790,Wisconsin State Laboratory of Hygiene,388424002,6/21/2018 10:18,EPA 200.7,,133230,703057,161996178,106900,PLE61318,6/13/2018 13:55,6/13/2018 14:14,6/13/2018 16:13,7/27/2018 16:20,PLEASANT LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
921,MAGNESIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7439954 EPA WQX: 1244 SRS: E149617 STORET_LEGACY: 921 ,1,17.5,MG/L,0.1,0.3,,,3,1,17.5,113133790,Wisconsin State Laboratory of Hygiene,388424002,6/21/2018 10:18,EPA 200.7,,133230,703057,161996178,106900,PLE61318,6/13/2018 13:55,6/13/2018 14:14,6/13/2018 16:13,7/27/2018 16:20,PLEASANT LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
899,HARDNESS TOTAL RECOVERABLE CALCULATION,DNR_STORET,EPA WQX: 1097 SRS: E1643592 STORET_LEGACY: 899 ,1,140,MG/L,0.66,2,,,3,0,140,113133790,Wisconsin State Laboratory of Hygiene,388424002,6/21/2018 10:18,EPA 200.7,,133230,703057,161996178,106900,PLE61318,6/13/2018 13:55,6/13/2018 14:14,6/13/2018 16:13,7/27/2018 16:20,PLEASANT LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
95,"CONDUCTIVITY, UMHOS/CM @ 25C",DNR_STORET,EPA WQX: 1815 SRS: E1640291 SRS: E1646694 STORET_LEGACY: 95 ,1,275,uS/cm,10,10,,,3,0,275,113133790,Wisconsin State Laboratory of Hygiene,388424002,6/15/2018 12:47,"SM2510B,EPA150.1,SM2320B",,132769,703057,161996178,106900,PLE61318,6/13/2018 13:55,6/13/2018 14:14,6/13/2018 16:13,7/27/2018 16:20,PLEASANT LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
403,PH LAB,DNR_STORET,EPA WQX: 1648 SRS: E1644285 STORET_LEGACY: 403 ,1,8.67,SU,,,,,3,2,8.67,113133790,Wisconsin State Laboratory of Hygiene,388424002,6/15/2018 12:47,"SM2510B,EPA150.1,SM2320B",,132769,703057,161996178,106900,PLE61318,6/13/2018 13:55,6/13/2018 14:14,6/13/2018 16:13,7/27/2018 16:20,PLEASANT LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
410,ALKALINITY TOTAL CACO3,DNR_STORET,EPA WQX: 3125 SRS: E1640192 STORET_LEGACY: 410 ,1,134,MG/L,2.55,2.55,,,3,0,134,113133790,Wisconsin State Laboratory of Hygiene,388424002,6/15/2018 12:47,"SM2510B,EPA150.1,SM2320B",,132769,703057,161996178,106900,PLE61318,6/13/2018 13:55,6/13/2018 14:14,6/13/2018 16:13,7/27/2018 16:20,PLEASANT LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
918,CALCIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7440702 EPA WQX: 727 SRS: E150268 STORET_LEGACY: 918 ,1,29.6,MG/L,0.1,0.3,,,3,1,29.6,113133790,Wisconsin State Laboratory of Hygiene,388424003,6/21/2018 10:21,EPA 200.7,,133230,10050786,161996044,1012500,PL61318,6/13/2018 12:17,6/13/2018 12:30,6/13/2018 16:13,7/27/2018 16:20,PLAINFIELD LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
921,MAGNESIUM TOTAL RECOVERABLE,DNR_STORET,CAS: 7439954 EPA WQX: 1244 SRS: E149617 STORET_LEGACY: 921 ,1,15.1,MG/L,0.1,0.3,,,3,1,15.1,113133790,Wisconsin State Laboratory of Hygiene,388424003,6/21/2018 10:21,EPA 200.7,,133230,10050786,161996044,1012500,PL61318,6/13/2018 12:17,6/13/2018 12:30,6/13/2018 16:13,7/27/2018 16:20,PLAINFIELD LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
899,HARDNESS TOTAL RECOVERABLE CALCULATION,DNR_STORET,EPA WQX: 1097 SRS: E1643592 STORET_LEGACY: 899 ,1,136,MG/L,0.66,2,,,3,0,136,113133790,Wisconsin State Laboratory of Hygiene,388424003,6/21/2018 10:21,EPA 200.7,,133230,10050786,161996044,1012500,PL61318,6/13/2018 12:17,6/13/2018 12:30,6/13/2018 16:13,7/27/2018 16:20,PLAINFIELD LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
95,"CONDUCTIVITY, UMHOS/CM @ 25C",DNR_STORET,EPA WQX: 1815 SRS: E1640291 SRS: E1646694 STORET_LEGACY: 95 ,1,294,uS/cm,10,10,,,3,0,294,113133790,Wisconsin State Laboratory of Hygiene,388424003,6/15/2018 12:54,"SM2510B,EPA150.1,SM2320B",,132769,10050786,161996044,1012500,PL61318,6/13/2018 12:17,6/13/2018 12:30,6/13/2018 16:13,7/27/2018 16:20,PLAINFIELD LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
403,PH LAB,DNR_STORET,EPA WQX: 1648 SRS: E1644285 STORET_LEGACY: 403 ,1,7.99,SU,,,,,3,2,7.99,113133790,Wisconsin State Laboratory of Hygiene,388424003,6/15/2018 12:54,"SM2510B,EPA150.1,SM2320B",,132769,10050786,161996044,1012500,PL61318,6/13/2018 12:17,6/13/2018 12:30,6/13/2018 16:13,7/27/2018 16:20,PLAINFIELD LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
410,ALKALINITY TOTAL CACO3,DNR_STORET,EPA WQX: 3125 SRS: E1640192 STORET_LEGACY: 410 ,1,137,MG/L,2.55,2.55,,,3,0,137,113133790,Wisconsin State Laboratory of Hygiene,388424003,6/15/2018 12:54,"SM2510B,EPA150.1,SM2320B",,132769,10050786,161996044,1012500,PL61318,6/13/2018 12:17,6/13/2018 12:30,6/13/2018 16:13,7/27/2018 16:20,PLAINFIELD LAKE - DEEP HOLE - INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,,COMPLETE
940,CHLORIDE,DNR_STORET,CAS: 16887006 EPA WQX: 773 SRS: E205955 STORET_LEGACY: 940 ,1,3.91,MG/L,1,3.2,,,3,2,3.91,113133790,Wisconsin State Laboratory of Hygiene,412650001,10/16/2018 12:51,SM4500-CL-E,,143164,703057,161188618,106900,PSNT10418,10/4/2018 12:13,10/4/2018 12:26,10/5/2018 10:32,12/11/2018 13:42,DEEP HOLE/INTEGRATED SAMPLE,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA KROMREY",SU,,CSLS,,,0-6F,CORRECTED
945,SULFATE TOTAL,DNR_STORET,CAS: 14808798 EPA WQX: 1827 SRS: E197301 STORET_LEGACY: 945 ,1,28.9,MG/L,4.7,15,,,3,1,28.9,113133790,Wisconsin State Laboratory of Hygiene,412650001,10/19/2018 10:30,EPA 375.2,,143436,703057,161188618,106900,PSNT10418,10/4/2018 12:13,10/4/2018 12:26,10/5/2018 10:32,12/11/2018 13:42,DEEP HOLE/INTEGRATED SAMPLE,PLEASANT LAKE-DEEP HOLE,WQ030,Central Sands Lake Study,FH,4,70,HEINC,,,"CATHERINE L HEIN, MICHAELA KROMREY",SU,,CSLS,,,0-6F,CORRECTED
