County,Waterbody Name,WBIC,Survey Year,Station Name,Swims Station Id,Site Seq No,Survey Seq No,Survey Begin Date,Survey End Date,Survey Status,Data Entry Name,Visit Fish Seq No,Visit Type,Gear,Sample Date,Substation Name,Target Species,Fish Data Seq No,Net Number,Species Code,Species,Number of Fish,Length or Lower Length IN,Length Upper IN,Length or Lower Length MM,Length Upper MM,Weight Pounds,Weight Grams,Fish Aggweight Amt,Fish Weight Units,Gender,Disease ,Injury Type,Age (observed annuli),Edge Counted Desc,Age Structure,Mark Given,Mark Found,Second Mark Found,Tag Number Given,Second Tag Number Given,Tag Number Found,Second Tag Number Found,YOY,Entry Date,Last Update Date,Data Ent Name,Last Update Name,Invalid Species,Non Standard Bin,Length Unit Error,Length Outside Range,Count Outside Range,Status Code
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207316,-,W12,LARGEMOUTH BASS,5,10.6,-,269.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207317,-,W12,LARGEMOUTH BASS,20,10.8,-,274.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207318,-,W12,LARGEMOUTH BASS,10,11,-,279.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207319,-,W12,LARGEMOUTH BASS,22,11.2,-,284.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207320,-,W12,LARGEMOUTH BASS,19,11.4,-,289.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207321,-,W12,LARGEMOUTH BASS,20,11.6,-,294.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207322,-,W12,LARGEMOUTH BASS,11,11.8,-,299.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207323,-,W12,LARGEMOUTH BASS,1,12.2,-,309.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207324,-,W12,LARGEMOUTH BASS,1,12.4,-,314.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207325,-,W12,LARGEMOUTH BASS,1,12.8,-,325.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207326,-,W12,LARGEMOUTH BASS,1,11.1,-,281.94,-,0.67,304,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207327,-,W12,LARGEMOUTH BASS,1,11.3,-,287.02,-,0.73,330,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207328,-,W12,LARGEMOUTH BASS,1,11.4,-,289.56,-,0.74,336,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207329,-,W12,LARGEMOUTH BASS,1,11.7,-,297.18,-,0.72,326,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207330,-,W12,LARGEMOUTH BASS,1,11.3,-,287.02,-,0.75,340,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207331,-,W12,LARGEMOUTH BASS,1,11.7,-,297.18,-,0.83,376,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207332,-,W12,LARGEMOUTH BASS,1,11.5,-,292.1,-,0.75,340,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207333,-,W12,LARGEMOUTH BASS,1,11.1,-,281.94,-,0.71,320,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207334,-,W12,LARGEMOUTH BASS,1,11.4,-,289.56,-,0.82,370,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207335,-,W12,LARGEMOUTH BASS,1,11.5,-,292.1,-,0.74,334,-,GRAMS,-,-,-,2,Yes,OTOLITH,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207336,-,W09,BLUEGILL,1,1.8,-,45.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207337,-,W09,BLUEGILL,1,1.9,-,48.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207338,-,W09,BLUEGILL,1,2,-,50.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207339,-,W09,BLUEGILL,2,2.3,-,58.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207340,-,W09,BLUEGILL,7,2.4,-,60.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207341,-,W09,BLUEGILL,6,2.5,-,63.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207342,-,W09,BLUEGILL,2,2.6,-,66.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207343,-,W09,BLUEGILL,10,2.7,-,68.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207344,-,W09,BLUEGILL,5,2.8,-,71.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207345,-,W09,BLUEGILL,2,2.9,-,73.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207346,-,W09,BLUEGILL,2,3,-,76.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207347,-,W09,BLUEGILL,1,3.2,-,81.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207348,-,W09,BLUEGILL,1,3.4,-,86.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207349,-,W09,BLUEGILL,1,3.8,-,96.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207350,-,W09,BLUEGILL,2,3.9,-,99.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207351,-,W09,BLUEGILL,2,4.1,-,104.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207352,-,W09,BLUEGILL,4,4.2,-,106.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207353,-,W09,BLUEGILL,3,4.3,-,109.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207354,-,W09,BLUEGILL,4,4.4,-,111.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207355,-,W09,BLUEGILL,14,4.5,-,114.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
WAUSHARA,LONG LAKE,1000800,2019,LONG LAKE_GENERAL LAKE STATION,3043,111458,515090318,14-May-19,14-May-19,DATA ENTRY COMPLETE AND PROOFED,wautoma,764955,ELECTROFISHING,BOOM SHOCKER,14-May-19,-,ALL SPECIES,13207356,-,W09,BLUEGILL,2,4.6,-,116.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-Oct-19,-,wautoma,-,-,-,-,-,-,NA
