Sample/Labslip ID,Sample Status,Primary Lab,Sample Collected (Start) Date,Primary Lab Id,Id #,Site Description,Id Point #,Field #,Waterbody ID #,Start Date/Time,End Date/Time,Date Received by Lab,Date Reported by Lab,Account #,Account Description,Program Code,Region,County,County Name,District,Sample Description,Sample Location,Report to Name,Report to Address,"Report to City, State, Zip",Sample Collector,Sample Source,Sample Reason,Project Code,Enforcement Code,Sample Depth,Type of Sample (QC),Check Date,File Batch Seq #,Sample Comment,Processed Batch Seq #,Creation Date,Creation User Id,Last Update Date,Last Update User Id,DNR Parameter Code,DNR Parameter Description,Analyte Code,Result Type,Result value,Result Amt,Units,LOD,LOQ,Lower Reporting Limit,Upper Reporting Limit,Decimal Places,Sig Figs,Lab Comment,NR140 Enforcement Standard,NR140 Preventive Action Limit,Analysis,Result Comment,Analysis ID,Creation Date,Creation User Id,Last Update Date,Last Update User Id
424393003,COMPLETE,Wisconsin State Laboratory of Hygiene,12/13/2018,113133790,10051674,,169205575,PSNT06 121318,,12/13/2018 12:18,12/13/2018 12:18,12/14/2018 11:33,1/22/2019 13:01,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT06 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,28F,1,,1091774,,335091,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1,918,CALCIUM TOTAL RECOVERABLE,TRICP~7440-70-2,1,24.9,24.9,MG/L,0.1,0.3,,,1,3,, , ,COMMENTS,,10754072,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1
424393003,COMPLETE,Wisconsin State Laboratory of Hygiene,12/13/2018,113133790,10051674,,169205575,PSNT06 121318,,12/13/2018 12:18,12/13/2018 12:18,12/14/2018 11:33,1/22/2019 13:01,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT06 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,28F,1,,1091774,,335091,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1,921,MAGNESIUM TOTAL RECOVERABLE,TRICP~7439-95-4,1,12.3,12.3,MG/L,0.1,0.3,,,1,3,,.05 UG/L,.025 UG/L,COMMENTS,,10754072,1/22/2019 13:44,LDES_DBL1,1/22/2019 13:44,LDES_DBL1
453036002,COMPLETE,Wisconsin State Laboratory of Hygiene,6/19/2019,113133790,10051673,,197258929,PSNT03 061919,,6/19/2019 15:46,6/19/2019 15:50,6/20/2019 14:12,8/1/2019 10:21,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL/ PERSTALTIC PUMP,PSNT03 MONITORING WELL,HEINC,,,"ABIGAIL E. ERNST, MICHAELA A. KROMREY",MW,,CSLS,,24 F,1,,1202358,Analyzed past the 28 days holding time: Method EPA 300.0 analyzed on 07/18/19 1258,354568,8/1/2019 11:14,LDES_DBL1,8/1/2019 11:14,LDES_DBL1,1104,"ALUMINUM,TOTAL RECOVERABLE",TRICP~7429-90-5,1,69.3,69.3,ug/L,10,30,,,1,3,,200 UG/L, ,COMMENTS,,10961930,8/1/2019 11:14,LDES_DBL1,8/1/2019 11:14,LDES_DBL1
453036002,COMPLETE,Wisconsin State Laboratory of Hygiene,6/19/2019,113133790,10051673,,197258929,PSNT03 061919,,6/19/2019 15:46,6/19/2019 15:50,6/20/2019 14:12,8/1/2019 10:21,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL/ PERSTALTIC PUMP,PSNT03 MONITORING WELL,HEINC,,,"ABIGAIL E. ERNST, MICHAELA A. KROMREY",MW,,CSLS,,24 F,1,,1202358,Analyzed past the 28 days holding time: Method EPA 300.0 analyzed on 07/18/19 1258,354568,8/1/2019 11:14,LDES_DBL1,8/1/2019 11:14,LDES_DBL1,899,HARDNESS TOTAL RECOVERABLE CALCULATION,TRICP~000-01-5,1,150,150,MG/L,0.66,2,,,0,3,, , ,COMMENTS,,10961930,8/1/2019 11:14,LDES_DBL1,8/1/2019 11:14,LDES_DBL1
415224003,COMPLETE,Wisconsin State Laboratory of Hygiene,10/17/2018,113133790,10051674,,169205523,PSNT06 101718,,10/17/2018 12:02,10/17/2018 12:07,10/18/2018 12:41,12/5/2018 13:21,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT06 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY",MW,,CSLS,,25.1F,1,,1050070,"Analyzed past the 28 days holding time: Method EPA 350.1 analyzed on 11/15/18 1118,Analyzed past the 28 days holding time: Method EPA 353.2 analyzed on 11/15/18 1118",330150,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1,665,PHOSPHORUS TOTAL ,LACH-TPL~7723-14-0,1,0.0966,0.0966,MG/L,0.005,0.016,,,4,3,, , ,COMMENTS,,10707818,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1
415224004,COMPLETE,Wisconsin State Laboratory of Hygiene,10/17/2018,113133790,10051673,,169205519,PSNT03 101718,,10/17/2018 11:23,10/17/2018 11:27,10/18/2018 12:41,12/5/2018 13:21,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PSNT03 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY",MW,,CSLS,,22.6F,1,,1050070,"Analyzed past the 28 days holding time: Method EPA 350.1 analyzed on 11/15/18 1119,Analyzed past the 28 days holding time: Method EPA 353.2 analyzed on 11/15/18 1119",330150,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1,1104,"ALUMINUM,TOTAL RECOVERABLE",TRICP~7429-90-5,1,453,453,ug/L,10,30,,,0,3,,200 UG/L, ,COMMENTS,MATRIX SPIKE QC EXCEEDED.,10707827,12/5/2018 14:15,LDES_DBL1,12/5/2018 14:15,LDES_DBL1
453036002,COMPLETE,Wisconsin State Laboratory of Hygiene,6/19/2019,113133790,10051673,,197258929,PSNT03 061919,,6/19/2019 15:46,6/19/2019 15:50,6/20/2019 14:12,8/1/2019 10:21,WQ030,Central Sands Lake Study,,4,39,Marquette,,MID-SCREEN OF WELL/ PERSTALTIC PUMP,PSNT03 MONITORING WELL,HEINC,,,"ABIGAIL E. ERNST, MICHAELA A. KROMREY",MW,,CSLS,,24 F,1,,1202358,Analyzed past the 28 days holding time: Method EPA 300.0 analyzed on 07/18/19 1258,354568,8/1/2019 11:14,LDES_DBL1,8/1/2019 11:14,LDES_DBL1,955,"SILICA, DISSOLVED (MG/L AS SI02)",LACH1SILD~99439-28-8,1,3.72,3.72,MG/L,0.1,0.32,,,2,3,, , ,COMMENTS,,10961929,8/1/2019 11:14,LDES_DBL1,8/1/2019 11:14,LDES_DBL1
388424001,COMPLETE,Wisconsin State Laboratory of Hygiene,6/13/2018,113133790,703032,,161996011,LL61318,1000800,6/13/2018 11:05,6/13/2018 11:19,6/13/2018 16:13,7/27/2018 16:20,WQ030,Central Sands Lake Study,,4,70,Waushara,,LONG LAKE DEEPHOLE - INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,,1,,966729,,316733,7/27/2018 17:14,LDES_DBL1,7/27/2018 17:14,LDES_DBL1,921,MAGNESIUM TOTAL RECOVERABLE,TRICP~7439-95-4,1,4.72,4.72,MG/L,0.1,0.3,,,2,3,,.05 UG/L,.025 UG/L,COMMENTS,,10545751,7/27/2018 17:14,LDES_DBL1,7/27/2018 17:14,LDES_DBL1
396890001,COMPLETE,Wisconsin State Laboratory of Hygiene,7/25/2018,113133790,10050786,,162004112,PLAIN 072518,1012500,7/25/2018 10:27,7/25/2018 10:27,7/25/2018 16:19,9/14/2018 10:41,WQ030,Central Sands Lake Study,,4,70,Waushara,,DEEP HOLE INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,0-6F,1,,992136,,321793,9/14/2018 11:14,LDES_DBL1,9/14/2018 11:14,LDES_DBL1,410,ALKALINITY TOTAL CACO3,CPA-TR~ALK,1,135,135,MG/L,2.55,2.55,,,0,3,, , ,COMMENTS,,10598308,9/14/2018 11:14,LDES_DBL1,9/14/2018 11:14,LDES_DBL1
396890002,COMPLETE,Wisconsin State Laboratory of Hygiene,7/25/2018,113133790,703032,,162004124,LONG 072518,1000800,7/25/2018 11:32,7/25/2018 11:32,7/25/2018 16:19,9/14/2018 10:41,WQ030,Central Sands Lake Study,,4,70,Waushara,,DEEP HOLE INTEGRATED SAMPLER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,0-1.5M,1,,992136,,321793,9/14/2018 11:14,LDES_DBL1,9/14/2018 11:14,LDES_DBL1,99717,"CHLOROPHYLL A, FLUORESCENCE (WELSCHMAYER 1994)",CHLA~Chl-a,1,2.03,2.03,ug/L,0.26,0.87,,,2,3,, , ,COMMENTS,,10598312,9/14/2018 11:14,LDES_DBL1,9/14/2018 11:14,LDES_DBL1
432719001,COMPLETE,Wisconsin State Laboratory of Hygiene,2/22/2019,113133790,10051669,,182660351,LL03 022219,,2/22/2019 11:02,2/22/2019 11:06,2/25/2019 10:43,4/12/2019 7:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL03 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,,1,,1194450,,343101,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1,923,SODIUM TOTAL RECOVERABLE,TRICP~7440-23-5,1,2.61,2.61,MG/L,0.1,0.3,,,2,3,, , ,COMMENTS,,10838660,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1
432719002,COMPLETE,Wisconsin State Laboratory of Hygiene,2/22/2019,113133790,10051668,,182660347,LL02 022219,,2/22/2019 10:26,2/22/2019 10:30,2/25/2019 10:43,4/12/2019 7:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL02 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,17.2F,1,,1194450,,343101,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1,945,SULFATE TOTAL,LACH-SO4~18785-72-3,3,6.63,6.63,MG/L,4.7,15,,,2,3,,250 MG/L,125 MG/L,COMMENTS,,10838671,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1
432719003,COMPLETE,Wisconsin State Laboratory of Hygiene,2/22/2019,113133790,10051671,,182660359,LL07 022219,,2/22/2019 9:48,2/22/2019 9:54,2/25/2019 10:43,4/12/2019 7:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,MID-SCREEN OF WELL / PERISTALTIC PUMP,LL07 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,18.7F,1,,1194450,,343101,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1,940,CHLORIDE,LACH-CL~16887-00-6,3,1.37,1.37,MG/L,1,3.2,,,2,3,,250 MG/L,125 MG/L,COMMENTS,,10838679,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1
432719005,COMPLETE,Wisconsin State Laboratory of Hygiene,2/21/2019,113133790,10051664,,182660367,PFL03 022119,,2/21/2019 11:18,2/21/2019 11:24,2/25/2019 10:43,4/12/2019 7:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL03 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,34F,1,,1194450,,343101,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1,95,"CONDUCTIVITY, UMHOS/CM @ 25C",CPA-TR~COND,1,613,613,uS/cm,10,10,,,0,3,, , ,COMMENTS,,10838693,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1
432719008,COMPLETE,Wisconsin State Laboratory of Hygiene,2/21/2019,113133790,10051666,,182660371,PFL04 022119,,2/21/2019 12:16,2/21/2019 12:20,2/25/2019 10:43,4/12/2019 7:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL04 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,17.3F,1,,1194450,,343101,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1,410,ALKALINITY TOTAL CACO3,CPA-TR~ALK,1,224,224,MG/L,20,20,,,0,3,, , ,COMMENTS,,10838718,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1
432719008,COMPLETE,Wisconsin State Laboratory of Hygiene,2/21/2019,113133790,10051666,,182660371,PFL04 022119,,2/21/2019 12:16,2/21/2019 12:20,2/25/2019 10:43,4/12/2019 7:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL04 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,17.3F,1,,1194450,,343101,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1,50245,POTASSIUM TOTAL RECOVERABLE,TRICP~7440-09-7,1,2.06,2.06,MG/L,0.1,0.3,,,2,3,, , ,COMMENTS,,10838723,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1
432719008,COMPLETE,Wisconsin State Laboratory of Hygiene,2/21/2019,113133790,10051666,,182660371,PFL04 022119,,2/21/2019 12:16,2/21/2019 12:20,2/25/2019 10:43,4/12/2019 7:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,MID-SCREEN OF WELL / PERISTALTIC PUMP,PFL04 MONITORING WELL,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",MW,,CSLS,,17.3F,1,,1194450,,343101,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1,923,SODIUM TOTAL RECOVERABLE,TRICP~7440-23-5,1,1.65,1.65,MG/L,0.1,0.3,,,2,3,, , ,COMMENTS,,10838723,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1
432719009,COMPLETE,Wisconsin State Laboratory of Hygiene,2/21/2019,113133790,10050786,,182668762,PLAIN 022119,1012500,2/21/2019 14:55,2/21/2019 15:05,2/25/2019 10:43,4/12/2019 7:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,DEEP HOLE / INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, JUS",SU,,CSLS,,0-2M,1,,1194450,,343101,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1,95,"CONDUCTIVITY, UMHOS/CM @ 25C",CPA-TR~COND,1,391,391,uS/cm,10,10,,,0,3,, , ,COMMENTS,,10838729,4/12/2019 7:44,LDES_DBL1,4/12/2019 7:44,LDES_DBL1
409402001,COMPLETE,Wisconsin State Laboratory of Hygiene,9/20/2018,113133790,703057,,161996170,PST920108,106900,9/20/2018 13:15,9/20/2018 13:27,9/20/2018 16:00,10/22/2018 13:00,WQ030,Central Sands Lake Study,FH,4,70,Waushara,,PLEASANT LAKE DEEP HOLE INTEGRATED SAMPLER,PLEASANT LAKE-DEEP HOLE,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,CSLS,,0-6F,1,,1017391,,325593,10/22/2018 13:44,LDES_DBL1,10/22/2018 13:44,LDES_DBL1,921,MAGNESIUM TOTAL RECOVERABLE,TRICP~7439-95-4,1,18.7,18.7,MG/L,0.1,0.3,,,1,3,,.05 UG/L,.025 UG/L,COMMENTS,,10650270,10/22/2018 13:44,LDES_DBL1,10/22/2018 13:44,LDES_DBL1
409402003,COMPLETE,Wisconsin State Laboratory of Hygiene,9/20/2018,113133790,703032,,161995979,LL92018,1000800,9/20/2018 11:05,9/20/2018 11:05,9/20/2018 16:00,10/22/2018 13:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,LONG LAKE DEEP HOLE INTEGRATED SAMP[LER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,HEINC,,,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",SU,,,,0-1.5M,1,,1017391,,325593,10/22/2018 13:44,LDES_DBL1,10/22/2018 13:44,LDES_DBL1,918,CALCIUM TOTAL RECOVERABLE,TRICP~7440-70-2,1,11.6,11.6,MG/L,0.1,0.3,,,1,3,, , ,COMMENTS,,10650274,10/22/2018 13:44,LDES_DBL1,10/22/2018 13:44,LDES_DBL1
455464003,COMPLETE,Wisconsin State Laboratory of Hygiene,7/3/2019,113133790,10050786,,199307865,PLAIN070319,1012500,7/3/2019 10:00,7/3/2019 10:00,7/3/2019 15:12,7/26/2019 14:00,WQ030,Central Sands Lake Study,,4,70,Waushara,,DEEP HOLE/ INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,HEINC,,,JUSTIN CHENEVERT,SU,,CSLS,,0-2 M,1,,1201981,"Analyzed past the 14 days holding time: Method SM2510B,EPA150.1,SM2320B analyzed on 07/19/19 1309",353969,7/26/2019 14:44,LDES_DBL1,7/26/2019 14:44,LDES_DBL1,921,MAGNESIUM TOTAL RECOVERABLE,TRICP~7439-95-4,1,16.1,16.1,MG/L,0.1,0.3,,,1,3,,.05 UG/L,.025 UG/L,COMMENTS,,10956619,7/26/2019 14:44,LDES_DBL1,7/26/2019 14:44,LDES_DBL1
